k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,NIST AI RMF profiles_removed/measure-2-2/sent_0001,0.6422222222222222,1,0,1.0,0.02631578947368421
2,NIST AI RMF profiles_removed/measure-2-2/sent_0002,0.6343434343434343,2,0,1.0,0.05263157894736842
3,NIST AI RMF profiles_removed/mp-2-3-002/sent_0002,0.4920634920634921,3,0,1.0,0.07894736842105263
4,NIST AI RMF profiles_removed/ms-1-1-006/sent_0003,0.4920077972709552,4,0,1.0,0.10526315789473684
5,NIST AI RMF profiles_removed/mp-1-1-002/sent_0002,0.4917850181008076,5,0,1.0,0.13157894736842105
6,NIST AI RMF profiles_removed/map-5-2/sent_0002,0.4684095860566449,6,0,1.0,0.15789473684210525
7,NIST AI RMF profiles_removed/map-4-1/sent_0003,0.4666666666666667,7,0,1.0,0.18421052631578946
8,NIST AI RMF profiles_removed/mp-1-1-002/sent_0001,0.4658119658119658,8,0,1.0,0.21052631578947367
9,NIST AI RMF profiles_removed/measure-2-7/sent_0004,0.45858585858585854,9,0,1.0,0.23684210526315788
10,NIST AI RMF profiles_removed/measure-2-6/sent_0002,0.4522607022607023,10,0,1.0,0.2631578947368421
11,NIST AI RMF profiles_removed/measure-2-7/sent_0003,0.4476190476190476,11,0,1.0,0.2894736842105263
12,NIST AI RMF profiles_removed/measure-2-6/sent_0001,0.42286324786324786,12,0,1.0,0.3157894736842105
13,NIST AI RMF profiles_removed/measure-2-6/sent_0003,0.41414141414141414,13,0,1.0,0.34210526315789475
14,NIST AI RMF profiles_removed/map-5-2/sent_0001,0.4138528138528138,14,0,1.0,0.3684210526315789
15,NIST AI RMF profiles_removed/map-4-1/sent_0002,0.40808080808080804,15,0,1.0,0.39473684210526316
16,NIST AI RMF profiles_removed/ms-2-3-004/sent_0002,0.4074074074074074,16,0,1.0,0.42105263157894735
17,NIST AI RMF profiles_removed/map-2-1/sent_0001,0.4051796157059315,17,0,1.0,0.4473684210526316
18,NIST AI RMF profiles_removed/mp-4-1-010/sent_0002,0.4010270774976657,18,0,1.0,0.47368421052631576
19,NIST AI RMF profiles_removed/mp-2-3-002/sent_0001,0.3939153439153439,19,0,1.0,0.5
20,NIST AI RMF profiles_removed/ms-2-3-004/sent_0001,0.37169312169312163,20,0,1.0,0.5263157894736842
21,NIST AI RMF profiles_removed/ms-2-3-004/sent_0003,0.3644179894179894,21,0,1.0,0.5526315789473685
22,NIST AI RMF profiles_removed/ms-1-1-006/sent_0002,0.3638888888888889,22,0,1.0,0.5789473684210527
23,NIST AI RMF profiles_removed/ms-1-1-006/sent_0001,0.35396825396825393,23,0,1.0,0.6052631578947368
24,NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,0.3481481481481482,24,0,1.0,0.631578947368421
25,NIST AI RMF profiles_removed/map-4-1/sent_0001,0.34814814814814815,25,0,1.0,0.6578947368421053
26,NIST AI RMF profiles_removed/mp-4-1-010/sent_0003,0.3388888888888889,26,0,1.0,0.6842105263157895
27,NIST AI RMF profiles_removed/measure-2-7/sent_0001,0.3386904761904762,27,0,1.0,0.7105263157894737
28,NIST AI RMF profiles_removed/mp-2-3-002/sent_0003,0.32320261437908493,28,0,1.0,0.7368421052631579
29,NIST AI RMF profiles_removed/map-5-2/sent_0003,0.31388888888888894,29,0,1.0,0.7631578947368421
30,NIST AI RMF profiles_removed/measure-2-7/sent_0002,0.29790660225442833,30,0,1.0,0.7894736842105263
31,NIST AI RMF profiles_removed/mp-4-1-010/sent_0001,0.25,31,0,1.0,0.8157894736842105
32,NIST AI RMF profiles_removed/gv-6-2-003/sent_0001,0.1111111111111111,32,0,1.0,0.8421052631578947
